Date,Price,Open,High,Low,Change %
15-Aug-19,"1,523.20","1,517.05","1,527.00","1,508.22",0.45%
14-Aug-19,"1,516.33","1,501.38","1,524.30","1,494.34",1.00%
13-Aug-19,"1,501.39","1,510.74","1,534.75","1,481.38",-0.66%
12-Aug-19,"1,511.41","1,497.65","1,517.95","1,487.91",0.95%
9-Aug-19,"1,497.24","1,501.20","1,508.40","1,494.69",-0.25%
8-Aug-19,"1,500.95","1,501.50","1,509.72","1,490.08",-0.02%
7-Aug-19,"1,501.20","1,474.25","1,510.28","1,472.28",1.83%
6-Aug-19,"1,474.27","1,464.00","1,475.04","1,456.61",0.72%
5-Aug-19,"1,463.80","1,440.65","1,470.05","1,437.03",1.60%
2-Aug-19,"1,440.70","1,445.80","1,448.23","1,430.20",-0.32%
1-Aug-19,"1,445.31","1,411.34","1,445.98","1,400.65",2.23%
31-Jul-19,"1,413.80","1,431.05","1,433.07","1,411.42",-1.19%
30-Jul-19,"1,430.85","1,426.84","1,433.12","1,422.12",0.27%
29-Jul-19,"1,426.94","1,419.49","1,428.46","1,416.98",0.58%
26-Jul-19,"1,418.69","1,414.40","1,424.83","1,413.72",0.29%
25-Jul-19,"1,414.53","1,426.30","1,433.84","1,411.08",-0.80%
24-Jul-19,"1,425.90","1,417.55","1,429.55","1,416.43",0.60%
23-Jul-19,"1,417.39","1,425.15","1,429.25","1,414.29",-0.54%
22-Jul-19,"1,425.12","1,425.15","1,429.77","1,422.34",-0.01%
19-Jul-19,"1,425.30","1,446.40","1,452.96","1,420.40",-1.45%
18-Jul-19,"1,446.30","1,426.80","1,448.35","1,414.68",1.37%
17-Jul-19,"1,426.80","1,406.59","1,427.00","1,400.18",1.46%
16-Jul-19,"1,406.33","1,415.05","1,418.34","1,401.23",-0.55%
15-Jul-19,"1,414.08","1,415.75","1,419.75","1,407.69",-0.12%
12-Jul-19,"1,415.74","1,403.90","1,417.09","1,403.12",0.84%
11-Jul-19,"1,404.00","1,419.20","1,426.21","1,401.58",-1.06%
10-Jul-19,"1,419.00","1,397.80","1,419.21","1,389.88",1.51%
9-Jul-19,"1,397.90","1,395.60","1,400.13","1,386.35",0.17%
8-Jul-19,"1,395.50","1,400.05","1,408.03","1,391.79",-0.32%
5-Jul-19,"1,399.95","1,415.80","1,424.24","1,386.97",-1.11%
4-Jul-19,"1,415.65","1,419.59","1,422.02","1,410.43",-0.23%
3-Jul-19,"1,418.94","1,419.95","1,436.29","1,412.52",0.03%
